,15,0,-15,-20,-30,-45,-60,-60,-75,"Pa+g2=29.5W"
0,0,0,,,,,,,,
20,40,8,,,,,,,,
40,70,16,,,,,,,,
60,100,27,,,,,,,,
80,127,38,,,,,,,,
100,150,50,0,,,,,,,
120,170,64,5,,,,,,,
140,,80,11,,,,,,,210.714285714286
160,,95,18,,,,,,,184.375
180,,112,27,,0,,,,,163.888888888889
200,,130,37,,1,,,,,147.5
220,,150,50,,3,,,,,134.090909090909
240,,,62,33,8,,,,,122.916666666667
260,,,75,43,14,,,,,113.461538461538
280,,,90,55,20,,,,,105.357142857143
300,,,107,,29,0,,,,98.3333333333333
320,,,122,,38,3,,,,92.1875
340,,,,,48,6,,,,86.7647058823529
360,,,,,60,11,0,,,81.9444444444444
380,,,,,73,17,1,,,77.6315789473684
400,,,,,88,24,2,,,73.75
420,,,,,104,32,5,,,70.2380952380952
440,,,,,,41,8,,,67.0454545454546
460,,,,,,50,12,0,,64.1304347826087
480,,,,,,62,17,1,,61.4583333333333
500,,,,,,75,24,3,,59
520,,,,,,,30,5,0,56.7307692307692
540,,,,,,,38,8,1,54.6296296296296
560,,,,,,,47,12,2,52.6785714285714
580,,,,,,,57,16,4,50.8620689655172
600,,,,,,,,21,6,49.1666666666667
620,,,,,,,,28,8,47.5806451612903
640,,,,,,,,37,11,46.09375
660,,,,,,,,,14,44.6969696969697
680,,,,,,,,,17,43.3823529411765
700,,,,,,,,,20,42.1428571428571
